iso_code,country,sdg_region,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,
AFG,Afghanistan,Central and Southern Asia,Lower,165.0519,159.8553,154.7742,149.8715,145.3760,141.0895,137.1457,133.3518,129.6533,125.9398,122.0501,118.1708,114.2417,110.2410,106.1230,102.0219,97.8591,93.6185,89.4488,85.2640,81.2312,77.4353,73.9144,70.6092,67.4630,64.3258,61.2922,58.3534,55.4070,52.5264,49.9433,47.3435,44.8188,42.4156,,,,,,,,,
AFG,Afghanistan,Central and Southern Asia,Median,180.6584,174.4463,168.5235,162.9670,157.7450,152.8450,148.3184,144.0529,139.8638,135.7636,131.6572,127.4307,123.1415,118.7310,114.2366,109.6527,105.0852,100.6716,96.3436,92.2038,88.3016,84.6279,81.2086,78.0230,75.1236,72.4387,69.9700,67.6374,65.4299,63.3243,61.3055,59.3354,57.3906,55.5079,,,,,,,,,
AFG,Afghanistan,Central and Southern Asia,Upper,197.5753,190.3001,183.5471,177.2795,171.2858,165.7717,160.4539,155.6910,151.0885,146.6295,142.2544,137.8682,133.2336,128.2609,123.1502,118.0420,113.0392,108.2139,103.8148,99.5677,95.8091,92.2668,88.9799,85.9684,83.3441,81.1055,79.1250,77.4983,76.1318,75.2145,74.4663,73.6142,73.1177,72.6995,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Lower,197.4261,197.6384,197.7208,197.6230,197.3313,196.1474,194.3391,191.5770,187.8466,183.2168,177.8788,171.7637,165.1826,157.2229,148.4655,138.6325,127.5356,116.0789,104.4286,93.2885,82.8756,72.7493,63.3238,55.4758,49.8735,45.1855,41.5722,38.4725,35.8585,33.6531,31.4071,29.8550,28.2879,26.8203,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Median,222.7036,222.5421,222.4310,222.0393,221.6475,220.6560,218.9267,216.2477,212.5631,208.1674,203.0085,196.9048,189.9073,182.2487,173.7812,165.0204,155.4678,146.0200,136.9606,128.2249,119.8198,112.0528,104.7906,98.2898,92.7677,88.1533,84.0566,80.4730,77.2545,74.3629,71.5969,68.9975,66.4370,64.0126,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Upper,250.4340,249.7572,249.6237,249.6402,249.1479,248.5061,246.9094,244.0601,241.1366,236.9360,232.2189,226.7433,219.9274,212.2242,204.1843,196.1504,188.4924,181.9206,175.8406,170.6382,165.8610,161.8902,158.3320,155.0188,151.7893,148.6877,146.2368,144.2864,141.6326,139.8895,137.9941,135.7360,133.5377,131.9715,,,,,,,,,
AIA,Anguilla,Latin America and the Caribbean,Lower,13.0424,12.5344,11.9405,11.3729,10.8672,10.3885,9.8830,9.4357,8.9953,8.5786,8.2072,7.8820,7.5735,7.2958,6.9908,6.7266,6.5036,6.2868,6.0833,5.8574,5.6080,5.3737,5.1110,4.8591,4.5841,4.3146,4.0799,3.8723,3.6727,3.4724,3.2986,3.1419,2.9637,2.8285,,,,,,,,,
AIA,Anguilla,Latin America and the Caribbean,Median,19.0375,18.1078,17.1683,16.3073,15.5123,14.7716,14.1003,13.4778,12.8957,12.3837,11.9023,11.4608,11.0353,10.6458,10.2898,9.9633,9.6636,9.3504,9.0674,8.8080,8.5522,8.3111,8.0818,7.8607,7.6393,7.4037,7.1803,6.9645,6.7475,6.5620,6.3565,6.1424,5.9432,5.7652,,,,,,,,,
AIA,Anguilla,Latin America and the Caribbean,Upper,27.6615,26.0503,24.6667,23.3545,22.2264,21.2232,20.2226,19.3784,18.5678,17.8795,17.2229,16.5854,16.0529,15.5821,15.1277,14.6729,14.2976,13.9198,13.5599,13.2779,13.0559,12.8810,12.7656,12.7292,12.7054,12.6167,12.5669,12.4868,12.3905,12.2099,12.1171,11.9318,11.8155,11.7418,,,,,,,,,
ALB,Albania,Europe and Northern America,Lower,36.3171,34.8511,33.4657,32.2825,31.1440,30.0325,28.9037,27.8030,26.7613,25.6736,24.6185,23.5870,22.5287,21.4782,20.3908,19.1961,17.9172,16.5836,15.2845,14.0388,12.8608,11.7756,10.8382,10.1058,9.5788,9.2230,9.0393,8.9650,8.9542,8.9349,8.8762,8.7375,8.5204,8.2146,,,,,,,,,
ALB,Albania,Europe and Northern America,Median,40.7715,39.0031,37.5628,36.1896,34.9145,33.6396,32.3885,31.0868,29.7792,28.4326,27.0985,25.7174,24.3143,22.8801,21.4263,19.9558,18.5057,17.0961,15.7533,14.4827,13.2804,12.1693,11.2176,10.4722,9.9259,9.5783,9.3989,9.3367,9.3429,9.3864,9.4332,9.4651,9.4457,9.3709,,,,,,,,,
ALB,Albania,Europe and Northern America,Upper,45.8571,43.8247,42.1410,40.5583,39.0993,37.7340,36.2674,34.7751,33.2175,31.5727,29.8842,28.0893,26.2605,24.3985,22.5352,20.7582,19.1133,17.6246,16.2344,14.9303,13.7075,12.5677,11.6035,10.8351,10.2963,9.9426,9.7627,9.7152,9.7466,9.8480,10.0071,10.2255,10.4790,10.6964,,,,,,,,,
AND,Andorra,Europe and Northern America,Lower,3.2151,3.3312,3.4353,3.5205,3.6105,3.6725,3.7491,3.7940,3.7975,3.8028,3.7691,3.7299,3.6680,3.5818,3.4261,3.2424,3.0817,2.8639,2.6453,2.4099,2.2004,1.9845,1.7665,1.5846,1.3876,1.2194,1.0842,0.9862,0.9086,0.8498,0.7984,0.7492,0.7095,0.6690,,,,,,,,,
AND,Andorra,Europe and Northern America,Median,13.0817,12.3349,11.6465,11.0425,10.4713,9.9125,9.3591,8.8923,8.4287,7.9965,7.5976,7.2384,6.8963,6.5663,6.2484,5.9627,5.6472,5.3637,5.0845,4.8256,4.5866,4.3602,4.1397,3.9356,3.7269,3.5412,3.3655,3.2105,3.0840,2.9662,2.8565,2.7631,2.6685,2.5776,,,,,,,,,
AND,Andorra,Europe and Northern America,Upper,51.6075,44.6101,39.2032,34.2336,30.0427,26.4157,23.3502,20.7458,18.5969,16.5926,15.1933,13.8438,12.7024,11.8663,11.0562,10.4566,10.1163,9.8999,9.7419,9.6410,9.6978,9.7098,9.7809,9.9663,10.1047,10.3249,10.5414,10.7148,10.7341,10.6884,10.5665,10.4394,10.3347,10.0854,,,,,,,,,
ARE,United Arab Emirates,Northern Africa and Western Asia,Lower,14.0068,13.3743,12.8248,12.3189,11.8716,11.4827,11.1288,10.8224,10.5615,10.3271,10.1345,9.9478,9.7645,9.5804,9.3989,9.2153,9.0428,8.8580,8.6772,8.4937,8.3102,8.1183,7.9210,7.7124,7.4826,7.2271,6.9262,6.6093,6.2735,5.9245,5.5576,5.1760,4.7877,4.4178,,,,,,,,,
ARE,United Arab Emirates,Northern Africa and Western Asia,Median,15.1399,14.3428,13.6690,13.0870,12.5817,12.1467,11.7759,11.4606,11.1879,10.9422,10.7211,10.5219,10.3271,10.1424,9.9541,9.7616,9.5769,9.3865,9.1992,9.0056,8.8060,8.6108,8.4041,8.1775,7.9318,7.6564,7.3481,7.0141,6.6606,6.3045,5.9554,5.6240,5.3102,5.0286,,,,,,,,,
