iso_code,country,year,wash_access
AFG,Afghanistan,2000,11.093327
AFG,Afghanistan,2001,11.105221
AFG,Afghanistan,2002,12.007733
AFG,Afghanistan,2003,12.909922
AFG,Afghanistan,2004,13.818684
AFG,Afghanistan,2005,14.733853
AFG,Afghanistan,2006,15.648427
AFG,Afghanistan,2007,16.562523
AFG,Afghanistan,2008,17.476011
AFG,Afghanistan,2009,18.388884
AFG,Afghanistan,2010,19.30114
AFG,Afghanistan,2011,20.212885
AFG,Afghanistan,2012,21.123997
AFG,Afghanistan,2013,22.03447
AFG,Afghanistan,2014,22.944302
AFG,Afghanistan,2015,23.85359
AFG,Afghanistan,2016,24.76222
AFG,Afghanistan,2017,25.671417
AFG,Afghanistan,2018,26.581314
AFG,Afghanistan,2019,27.491734
AFG,Afghanistan,2020,28.402506
AFG,Afghanistan,2021,29.313843
AFG,Afghanistan,2022,30.034098
,Africa (WHO),2000,19.306862
,Africa (WHO),2001,19.609863
,Africa (WHO),2002,20.06806
,Africa (WHO),2003,20.540802
,Africa (WHO),2004,21.073881
,Africa (WHO),2005,21.612398
,Africa (WHO),2006,22.179928
,Africa (WHO),2007,22.812088
,Africa (WHO),2008,23.482048
,Africa (WHO),2009,24.178427
,Africa (WHO),2010,24.904018
,Africa (WHO),2011,25.38758
,Africa (WHO),2012,26.165874
,Africa (WHO),2013,26.96988
,Africa (WHO),2014,27.812178
,Africa (WHO),2015,28.69438
,Africa (WHO),2016,29.5712
,Africa (WHO),2017,30.44026
,Africa (WHO),2018,31.250828
,Africa (WHO),2019,31.80987
,Africa (WHO),2020,32.33789
,Africa (WHO),2021,32.86822
,Africa (WHO),2022,33.264328
ALB,Albania,2000,49.13832
ALB,Albania,2001,49.0812
ALB,Albania,2002,48.984764
ALB,Albania,2003,48.885445
ALB,Albania,2004,50.717678
ALB,Albania,2005,52.57833
ALB,Albania,2006,54.467083
ALB,Albania,2007,56.383842
ALB,Albania,2008,58.32848
ALB,Albania,2009,60.300903
ALB,Albania,2010,62.30063
ALB,Albania,2011,64.3274
ALB,Albania,2012,66.38085
ALB,Albania,2013,68.45983
ALB,Albania,2014,70.56326
ALB,Albania,2015,70.59197
ALB,Albania,2016,70.61651
ALB,Albania,2017,70.63694
ALB,Albania,2018,70.65335
ALB,Albania,2019,70.665855
ALB,Albania,2020,70.67454
ALB,Albania,2021,70.705795
ALB,Albania,2022,70.73607
DZA,Algeria,2000,70.078514
DZA,Algeria,2001,70.64218
DZA,Algeria,2002,71.19186
DZA,Algeria,2003,71.72697
DZA,Algeria,2004,72.24755
DZA,Algeria,2005,72.75315
